rank,phase,subject,lab,eid,pid,probe_name,n_trials,n_good_units,panel_hash
1,development,ZFM-02369,mainenlab,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,f4bd76a6-66c9-41f3-9311-6962315f8fc8,probe00,733,131,010ef8fe6aed305d5e1aa5b3683325a4a4033fd330d7c946ffc05bef6b06a404
2,development,ibl_witten_29,wittenlab,d2832a38-27f6-452d-91d6-af72d794136c,b25799a5-09e8-4656-9c1b-44bc9cbb5279,probe00,663,148,043e71f03b21ed812a6d0168c7f230b5f2498f46bd7a0d793b599f53811aae00
3,development,NYU-45,angelakilab,51e53aff-1d5d-4182-a684-aba783d50ae5,1a60a6e1-da99-4d4e-a734-39b1d4544fad,probe00,505,117,0747271a850ed9c57bf4057cc8ee367b1c898f910cd6f9daf279b03caf518ab7
4,development,SWC_042,hoferlab,66d98e6e-bcd9-4e78-8fbb-636f7e808b29,4f10fbb7-57be-427b-bb1d-a19bd31dc27b,probe00,564,70,079c918ce5af8299faf86a871b04835e5793b046f2c871b6da6f3aa68fe264f8
5,development,CSHL047,churchlandlab,b52182e7-39f6-4914-9717-136db589706e,4762e8ed-4d94-4fd7-9522-e927f5ffca74,probe01,700,37,07fd2c6411cf34bc5d00d91f48ba0480840a278d14cd9d2c62dc3f1859d40eeb
6,development,CSHL058,churchlandlab,f312aaec-3b6f-44b3-86b4-3a0c119c0438,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,probe00,626,142,0a2c34467986af0a6c131ff76ec3752ca2b9d5f9dfbdb29880be3e6362ae91fe
7,development,CSHL054,churchlandlab,a71175be-d1fd-47a3-aa93-b830ea3634a1,e10a7a75-4740-41d1-82bb-7696ed14c442,probe01,855,48,0ad7d4ce4246803cea782307c7fe38078b4b1ccf076dc3d8b6449d7596fabf44
8,development,CSHL049,churchlandlab,d839491f-55d8-4cbe-a298-7839208ba12b,ae2b9f1b-ebe3-4b56-8957-31982186e6ec,probe00,559,82,0bd0b01c96780840d902a344436091a73c61f6a3b29be56acf7829e08b312792
9,confirmatory,CSHL055,churchlandlab,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,f9656eee-141c-453d-a016-4aba68f674dc,probe01,771,50,0c2ccb9cabd97ea4f62a4bd288bdd80573cea3dafd26bb766d90cde7bbdacba0
10,confirmatory,CSH_ZAD_025,zadorlab,280ee768-f7b8-4c6c-9ea0-48ca75d6b6f3,64d04585-67e7-4320-baad-8d4589fd18f7,probe01,888,82,0d2008e3103fb13a7584459993ef7991922fc26b49c070c95f2184ae8eead4ab
