split,task,seed,controller,mean_compute_us,tracking_rmse,mean_regret,mean_cost,hard_violations,mean_recovery_steps,recovery_censored,recovery_events,recovery_fraction,recall_regret,reacquisition_regret,effect_discrimination,effect_target_correlation,mean_node_homogeneity,mean_temporal_action_cosine,external_pass
development,gain_resource_shift,101,dual_pole,306.70483333333334,0.1725314769794233,0.004150326675176748,11.291827363047394,0,1.0,0,5,1.0,,,0.37084235281506356,0.7234570453091936,0.9732473876030788,0.9725308787700686,True
development,gain_resource_shift,102,dual_pole,367.2853125,0.1760064070389521,0.003956918714678144,11.589213268605556,0,1.0,0,5,1.0,,,0.37199778451641297,0.7145810775656019,0.9789203258813325,0.9743562769238254,True
development,gain_resource_shift,103,dual_pole,419.1043125,0.15392797608676279,0.003831698402730626,9.754062241529565,0,1.2,0,5,1.0,,,0.3744276921555828,0.7659384895046574,0.972251133879101,0.9691970240573174,True
development,gain_resource_shift,104,dual_pole,381.4273333333333,0.15622503600664367,0.0034115145840135654,10.088963315595075,0,1.0,0,5,1.0,,,0.37562646898250446,0.7582640537111155,0.9770359684790298,0.9701512478591475,True
development,gain_resource_shift,105,dual_pole,352.8895416666667,0.17668720747562863,0.003990513616246027,11.32924007903956,0,1.0,0,5,1.0,,,0.37329854321850736,0.7207377075282213,0.9762821656733432,0.9725008872005553,True
development,switching_memory,101,dual_pole,430.984625,0.058338266048240335,0.0034002781885893846,13.99177635473609,0,0.8,0,5,1.0,0.012587836248520456,0.00010311037318161837,0.5597744348641209,0.9826251554283221,0.9636392362715133,0.9863011759581533,True
development,switching_memory,102,dual_pole,305.57783333333333,0.054175648501300015,0.002932250171432524,10.812132142248345,0,0.8,0,5,1.0,0.011043015959797946,7.898734554346688e-05,0.558475867827222,0.9843920112830711,0.9669159256990456,0.9856317396403307,True
development,switching_memory,103,dual_pole,429.3561770833333,0.06123088574804386,0.0037463959793003717,13.469045006581753,0,1.0,0,5,1.0,0.014273325348354899,9.922096147949666e-05,0.5562724758409175,0.9808574485150806,0.9585659713909201,0.9866393845137503,True
development,switching_memory,104,dual_pole,365.8805625,0.06402551737639832,0.004096284731565086,13.570586925447122,0,1.2,0,5,1.0,0.015906204196819915,0.00010908829868691081,0.5543243635817987,0.9792462938617678,0.9596296608297094,0.9865948371005541,False
development,switching_memory,105,dual_pole,399.6645520833333,0.05666703496943699,0.003208218892130452,14.333182634161835,0,0.8,0,5,1.0,0.013176479594581882,0.00011684281422526496,0.5611509374727636,0.9839077493907958,0.9668876087483965,0.9874966756248545,True
heldout,gain_resource_shift,1001,dual_pole,364.36519791666666,0.14970776491983212,0.0044431603822962145,10.197560329129661,0,1.2,0,5,1.0,,,0.35470480341548494,0.7343604701306924,0.9752222509635962,0.9691903113037991,True
heldout,gain_resource_shift,1002,dual_pole,545.6829479166666,0.15143931114497772,0.00464626824063856,10.208079391087969,0,1.6,0,5,1.0,,,0.35524323624511117,0.7341742480728659,0.975341956130265,0.9707334392450613,True
heldout,gain_resource_shift,1003,dual_pole,378.78353125,0.16214767677436523,0.004815528379769706,11.407677680042504,0,1.4,0,5,1.0,,,0.35168609917448496,0.6976393339106626,0.9739710220890684,0.970758733162051,True
heldout,gain_resource_shift,1004,dual_pole,453.9900104166667,0.14477185122548647,0.003929327961337484,9.93888220470715,0,1.2,0,5,1.0,,,0.3553699886143617,0.7447376062087884,0.9721756347083857,0.968244316317267,True
heldout,gain_resource_shift,1005,dual_pole,399.0560625,0.16664746522981752,0.004988754640475031,11.389111752714852,0,1.6,0,5,1.0,,,0.3528686210828235,0.69540191750489,0.9766668518271829,0.9718724020952149,True
