scenario,seed,Config,HGI_final,HGI_mean,INC_final,INC_mean,Continuous_modulation_pct,Override_pct,Override_effect_pct,HGI_guard_pct,INC_guard_pct,Clipping_pct,Recovery,Recovery_status
p2,2025,p2,0.9999427795410156,0.999245998263359,0.9605910778045654,0.9778739750385285,100.0,0.0,0.0,0.0,5.0,0.0,,not_applicable
p6,2025,p6,0.9998109340667725,0.9986331671476364,0.9763748645782471,0.9580855071544647,100.0,0.0,0.0,0.0,45.0,0.0,3,recovered
p7,2025,p7,0.9949138164520264,0.9737335642178854,0.9514172673225403,0.9616877684990565,100.0,0.0,0.0,25.0,62.5,29.166666666666668,,censored
p7_no_modulation,2025,p7_no_modulation,0.9956052899360657,0.9744253903627396,0.9552417993545532,0.9615324238936106,0.0,0.0,0.0,25.0,62.5,29.166666666666668,,censored
p7_no_homeostasis,2025,p7_no_homeostasis,0.9868995547294617,0.9661396518349648,0.9455357789993286,0.9622708906730016,100.0,0.0,0.0,29.166666666666668,54.166666666666664,50.0,,censored
iacl,2025,iacl,0.9999081293741862,0.9993290222353406,0.9740644693374634,0.9796181610888905,100.0,0.0,0.0,0.0,48.61111111111111,0.0,,no_detectable_departure
perturb_reduced,2025,perturb_reduced,0.9955989122390747,0.9821432424443108,0.9929540753364563,0.9577965204204831,100.0,0.0,0.0,14.285714285714285,14.285714285714285,25.0,,censored
perturb_no_reduction,2025,perturb_no_reduction,0.9894335865974426,0.9801226662737983,0.9953389167785645,0.958426200917789,100.0,0.0,0.0,14.285714285714285,14.285714285714285,42.857142857142854,,censored
p2,2026,p2,0.9999198913574219,0.9992629528045655,0.9718948602676392,0.980053824186325,100.0,0.0,0.0,0.0,10.0,0.0,,not_applicable
p6,2026,p6,0.9998390078544617,0.9987218707799912,0.9818993806838989,0.9585908323526382,100.0,0.0,0.0,0.0,40.0,0.0,3,recovered
p7,2026,p7,0.9947182536125183,0.9755949899554253,0.9548695087432861,0.9635800793766975,100.0,0.0,0.0,20.833333333333336,50.0,25.0,,censored
p7_no_modulation,2026,p7_no_modulation,0.9954339861869812,0.9758389617005984,0.9576848149299622,0.9632924720644951,0.0,0.0,0.0,20.833333333333336,50.0,25.0,,censored
p7_no_homeostasis,2026,p7_no_homeostasis,0.988937497138977,0.9684570034344991,0.9497532844543457,0.9630310709277788,100.0,0.0,0.0,25.0,54.166666666666664,41.66666666666667,,censored
iacl,2026,iacl,0.9999436140060425,0.9993934109807014,0.9766363302866617,0.9800685834553508,100.0,0.0,0.0,0.0,25.0,0.0,,no_detectable_departure
perturb_reduced,2026,perturb_reduced,0.9955259561538696,0.9828549772500992,0.9938427209854126,0.9663297278540475,100.0,0.0,0.0,14.285714285714285,10.714285714285714,25.0,,censored
perturb_no_reduction,2026,perturb_no_reduction,0.9896763563156128,0.9810644835233688,0.9959722757339478,0.966869192464011,100.0,0.0,0.0,14.285714285714285,10.714285714285714,42.857142857142854,,censored
p2,2027,p2,0.9999191761016846,0.9992947161197663,0.9717702865600586,0.9807474076747894,100.0,0.0,0.0,0.0,10.0,0.0,,not_applicable
p6,2027,p6,0.9999346733093262,0.9986428409814835,0.9649785757064819,0.9568880170583725,100.0,0.0,0.0,0.0,20.0,0.0,3,recovered
p7,2027,p7,0.9823657870292664,0.9612547059853872,0.9433194398880005,0.9582370320955912,100.0,0.0,0.0,33.33333333333333,50.0,37.5,,censored
p7_no_modulation,2027,p7_no_modulation,0.9813472032546997,0.9605544010798136,0.9427213668823242,0.9577614615360895,0.0,0.0,0.0,29.166666666666668,50.0,37.5,,censored
p7_no_homeostasis,2027,p7_no_homeostasis,0.9747249484062195,0.9576657662789027,0.9489046335220337,0.9607900157570839,100.0,0.0,0.0,33.33333333333333,54.166666666666664,50.0,,censored
iacl,2027,iacl,0.9999249974886576,0.9993729119499525,0.9819491902987162,0.9797056019306183,100.0,0.0,0.0,0.0,31.944444444444443,0.0,,no_detectable_departure
perturb_reduced,2027,perturb_reduced,0.9953752160072327,0.9828635028430394,0.9941552877426147,0.9707369421209607,100.0,0.0,0.0,10.714285714285714,10.714285714285714,25.0,,censored
perturb_no_reduction,2027,perturb_no_reduction,0.9896158576011658,0.9811201351029533,0.9961709976196289,0.971239339028086,100.0,0.0,0.0,10.714285714285714,10.714285714285714,46.42857142857143,,censored
p2,2028,p2,0.9999094605445862,0.9992394208908081,0.9838699102401733,0.9812441468238831,100.0,0.0,0.0,0.0,5.0,0.0,,not_applicable
p6,2028,p6,0.9997730851173401,0.9985892683267593,0.9801796674728394,0.9568864375352859,100.0,0.0,0.0,0.0,45.0,0.0,2,recovered
p7,2028,p7,0.9942460060119629,0.9736528868476549,0.9578466415405273,0.9628959273298582,100.0,0.0,0.0,20.833333333333336,54.166666666666664,29.166666666666668,,censored
