step,HGI,INC,SAT,alpha,override
0,0.9954407215118408,0.9991678595542908,0.0,0.9962765574455261,False
1,0.9972209930419922,0.9975924491882324,0.0,0.997386634349823,False
2,0.9982443451881409,0.9951669573783875,0.0,0.9974856376647949,False
3,0.9988453984260559,0.9920790791511536,0.0,0.9968081116676331,False
4,0.9992087483406067,0.9885303974151611,0.0,0.9956086277961731,False
5,0.9994359612464905,0.9847062230110168,0.0,0.9940764904022217,False
6,0.9995831847190857,0.9807547330856323,0.0,0.9923520684242249,False
7,0.9996821284294128,0.9767822623252869,0.0,0.9905346035957336,False
8,0.9932866096496582,0.7220497131347656,0.0,0.9886910915374756,False
9,0.9972686171531677,0.8924567699432373,0.0,0.8784670829772949,False
10,0.99860680103302,0.9427903890609741,0.0,0.9491326212882996,False
11,0.9990924596786499,0.9676752090454102,0.0,0.9723076820373535,False
12,0.9993118643760681,0.9782421588897705,0.0,0.9841057658195496,False
13,0.9996272325515747,0.9656975269317627,0.0,0.989208996295929,False
14,0.9996066689491272,0.9779385328292847,0.0,0.9834271669387817,False
15,0.9996258020401001,0.9823817610740662,0.0,0.9892047643661499,False
16,0.9997925758361816,0.9663676619529724,0.0,0.9913314580917358,False
17,0.9997546672821045,0.9787976741790771,0.0,0.9838199615478516,False
18,0.9997567534446716,0.9825509786605835,0.0,0.989683985710144,False
19,0.9998660087585449,0.9653140306472778,0.0,0.9914748668670654,False
