step,HGI,INC,SAT,alpha,override
0,0.9956793189048767,0.9990969300270081,0.0,1.0,False
1,0.9971001744270325,0.9636431932449341,0.0,1.0,False
2,0.9978134036064148,0.9801545143127441,0.0,1.0,False
3,0.9987730979919434,0.9916069507598877,0.0,1.0,False
4,0.9985154271125793,0.9810352325439453,0.0,1.0,False
5,0.9980870485305786,0.9674504995346069,0.0,1.0,False
6,0.9975276589393616,0.9657440185546875,0.0,1.0,False
7,0.9967690110206604,0.975752592086792,0.0,1.0,False
8,0.9954638481140137,0.9841939210891724,0.0,1.0,False
9,0.9930341243743896,0.9932709336280823,0.0,1.0,False
10,0.9887403249740601,0.9964635372161865,0.0,1.0,False
11,0.9817820191383362,0.997144341468811,0.0,1.0,False
12,0.9717732667922974,0.9971670508384705,0.0,1.0,False
13,0.9606366753578186,0.9968420267105103,0.0,1.0,False
14,0.9544025659561157,0.995804488658905,0.0,1.0,False
15,0.9597148895263672,0.9921220541000366,0.0,1.0,False
16,0.9744989275932312,0.9803794026374817,0.0,1.0,False
17,0.9875776171684265,0.9758421182632446,0.0,1.0,False
18,0.9941444396972656,0.9786988496780396,0.0,1.0,False
19,0.9980158805847168,0.9643911123275757,0.0,1.0,False
20,0.9992180466651917,0.9639784097671509,0.0,1.0,False
21,0.9996403455734253,0.9664461612701416,0.0,1.0,False
22,0.9998027086257935,0.9621038436889648,0.0,1.0,False
23,0.99943608045578,0.9882102012634277,0.0,1.0,False
