step,HGI,INC,SAT,alpha,override
0,0.9951721429824829,0.9993133544921875,0.0,0.9961487054824829,False
1,0.9971193075180054,0.9653559327125549,0.0,0.9972283244132996,False
2,0.9978104829788208,0.9806903600692749,0.0,0.9814385771751404,False
3,0.9986314177513123,0.9918800592422485,0.0,0.989280641078949,False
4,0.9987717866897583,0.9658238291740417,0.0,0.9952405691146851,False
5,0.9980953335762024,0.973183274269104,0.0,0.9824689626693726,False
6,0.9971643686294556,0.9738301634788513,0.0,0.9857309460639954,False
7,0.9956355094909668,0.9734758138656616,0.0,0.9855918884277344,False
8,0.9926509261131287,0.9856322407722473,0.0,0.9846707582473755,False
9,0.9867597222328186,0.9936259388923645,0.0,0.989173173904419,False
10,0.976136326789856,0.9966439008712769,0.0,0.9902111291885376,False
11,0.9598966836929321,0.997539222240448,0.0,0.9864669442176819,False
12,0.9486068487167358,0.9973654747009277,0.0,0.9789982438087463,False
13,0.9461385011672974,0.995963454246521,0.0,0.973491907119751,False
14,0.956376314163208,0.9905002117156982,0.0,0.9716467261314392,False
15,0.9677324891090393,0.9777264595031738,0.0,0.9739238619804382,False
16,0.9803473949432373,0.9681317806243896,0.0,0.973246693611145,False
17,0.9876790642738342,0.9603378772735596,0.0,0.9746906757354736,False
18,0.9916961193084717,0.9598110318183899,0.0,0.9744694232940674,False
19,0.9940629005432129,0.9626486897468567,0.0,0.9761427044868469,False
20,0.9955646991729736,0.9660574793815613,0.0,0.9786484837532043,False
21,0.9965667128562927,0.969348132610321,0.0,0.9810246229171753,False
22,0.997268795967102,0.9728229641914368,0.0,0.9831112623214722,False
23,0.9977855682373047,0.9767240285873413,0.0,0.9851500391960144,False
