step,HGI,INC,SAT,alpha,override
0,0.9969318707784017,0.9975192149480184,0.0,0.9971853693326315,0.0
1,0.9980199138323466,0.9950969219207764,0.0,0.9973105589548746,0.0
2,0.9986695647239685,0.9920750061670939,0.0,0.9966663519541422,0.0
3,0.9990696907043457,0.9886544148127238,0.0,0.9955233732859293,0.0
4,0.9993247787157694,0.9849971532821655,0.0,0.9940726359685262,0.0
5,0.9994933009147644,0.981218417485555,0.0,0.9924444556236267,0.0
6,0.9996086359024048,0.9773930311203003,0.0,0.9907236297925314,0.0
7,0.9996047417322794,0.9811673561731974,0.0,0.9889625112215678,0.0
8,0.9997037450472513,0.9764455556869507,0.0,0.9907499750455221,0.0
9,0.9997687141100565,0.9714463353157043,0.0,0.9885506629943848,0.0
10,0.9996909499168396,0.9823542435963949,0.0,0.9862174987792969,0.0
11,0.9997816880544027,0.9754247466723124,0.0,0.9913497964541117,0.0
12,0.9997896750768026,0.9760846892992655,0.0,0.9880956808725992,0.0
13,0.999802807966868,0.9757670958836874,0.0,0.9884194334348043,0.0
14,0.9998230338096619,0.9757486780484518,0.0,0.9882733027140299,0.0
15,0.9998747110366821,0.9668439229329427,0.0,0.9882712960243225,0.0
16,0.9998454650243124,0.9760256409645081,0.0,0.9840841690699259,0.0
17,0.999868909517924,0.9727047681808472,0.0,0.9884162545204163,0.0
18,0.999884843826294,0.9701403180758158,0.0,0.9868590235710144,0.0
19,0.9998833139737447,0.9767726262410482,0.0,0.9856547315915426,0.0
20,0.9998839894930521,0.979592521985372,0.0,0.9887927571932474,0.0
21,0.9999079704284668,0.9729942083358765,0.0,0.990124523639679,0.0
22,0.9999076128005981,0.9753408034642538,0.0,0.9870111147562662,0.0
23,0.9999165336290995,0.9766205747922262,0.0,0.9881246089935303,0.0
