controller,seed,family,regime,mean_tracking_loss,tracking_rmse,mean_action_cost,hard_violations,tracking_pass,failure_rate,recovery_fraction,mean_recovery_steps,recovery_censored,initial_tail_loss,return_tail_loss,return_loss_change,mean_stockout,mean_overflow,censored_transition_fraction,action_seconds,learning_seconds,controller_seconds
paired_lesion,62001,dynamic_tracking,paired,0.014565827614594793,0.12068897055901502,2.836350701224948,0,True,0.0,1.0,2.6666666666666665,0,0.007448671208600992,0.006613905737683665,-0.0008347654709173272,,,,0.0698271329747513,0.028329379063507076,0.09815651203825837
diagonal,62001,dynamic_tracking,paired,0.011303240543369144,0.1063166992685963,2.8221430818409625,0,True,0.0,1.0,3.6666666666666665,0,0.0024982351465000804,0.004382191528543305,0.0018839563820432247,,,,0.06601091203629039,0.02521592000994133,0.09122683204623172
shuffled,62001,dynamic_tracking,paired,0.007016585147767946,0.08376505922977638,2.8350615376522548,0,True,0.0,1.0,1.0,0,0.0025820377264009413,0.0028877297579584698,0.0003056920315575285,,,,0.06512954596837517,0.025047922994417604,0.09017746896279277
dense,62001,dynamic_tracking,paired,0.002585260417468415,0.050845456212609746,2.7454276046073804,0,True,0.0,1.0,1.0,0,5.5614445647528455e-05,0.00014478685824171524,8.917241259418678e-05,,,,0.0688155960306176,0.027099567996629048,0.09591516402724665
signed_intensity,62001,dynamic_tracking,paired,0.008461940352430732,0.09198880558215076,2.82588702360689,0,True,0.0,1.0,4.0,0,0.0003844727818840269,0.0019834988284939564,0.0015990260466099294,,,,0.0686768420127919,0.027256534973275848,0.09593337698606774
zero,62001,dynamic_tracking,paired,0.20700688153062058,0.4549800891584384,0.0,0,False,1.0,0.0,,3,0.18785033963619668,0.1898961207949898,0.002045781158793114,,,,0.001596286951098591,0.00023467305436497554,0.0018309600054635666
hold,62001,dynamic_tracking,paired,0.08801370614675351,0.2966710402900046,2.31860162019433,0,False,1.0,0.0,,3,0.08701933660761206,0.08666983324177699,-0.0003495033658350716,,,,0.001622478048375342,0.00022445605281973258,0.0018469341011950746
paired,62001,dynamic_tracking,paired,0.008461940352430732,0.09198880558215076,2.82588702360689,0,True,0.0,1.0,4.0,0,0.00038447278188402694,0.001983498828493957,0.0015990260466099298,,,,0.06957972698728554,0.026178325053479057,0.0957580520407646
diagonal,62001,dynamic_tracking,diagonal,0.002776576835542637,0.052693233299377605,2.8293840671295203,0,True,0.0,1.0,1.0,0,0.0006295608819960952,0.0003144018539470942,-0.000315159028049001,,,,0.06827657701796852,0.02635067200026242,0.09462724901823094
shuffled,62001,dynamic_tracking,diagonal,0.002175108896504633,0.046638062743907284,2.7839964035082962,0,True,0.0,1.0,1.0,0,0.0003355917310058747,0.000207031667287563,-0.0001285600637183117,,,,0.06571607300429605,0.025823885982390493,0.09153995898668654
dense,62001,dynamic_tracking,diagonal,0.001442535810867265,0.03798072946728729,2.7122417162591343,0,True,0.0,1.0,0.6666666666666666,0,5.9480454951378294e-05,7.773068790096447e-05,1.825023294958617e-05,,,,0.07965335800690809,0.02711028703924967,0.10676364504615776
signed_intensity,62001,dynamic_tracking,diagonal,0.0023275426034559,0.048244612170229954,2.7877132909485236,0,True,0.0,1.0,1.0,0,0.0003396340157378726,0.00044806194529286116,0.00010842792955498856,,,,0.0683237650373485,0.02815078795538284,0.09647455299273133
zero,62001,dynamic_tracking,diagonal,0.16895011645197833,0.411035419948182,0.0,0,False,1.0,0.0,,3,0.1722067512290435,0.17501583729694023,0.002809086067896732,,,,0.0016747120171203278,0.00028311200730968267,0.0019578240244300105
hold,62001,dynamic_tracking,diagonal,0.07792565014636414,0.279151661550427,2.31860162019433,0,False,1.0,0.0,,3,0.08841929009460386,0.08889972990749759,0.00048043981289372373,,,,0.0017259509913856164,0.000270023949269671,0.0019959749406552874
paired,62001,dynamic_tracking,diagonal,0.0023275426034559,0.048244612170229954,2.7877132909485236,0,True,0.0,1.0,1.0,0,0.0003396340157378726,0.00044806194529286116,0.00010842792955498856,,,,0.06912420602020575,0.027444763043604326,0.09656896906381007
paired_lesion,62001,dynamic_tracking,diagonal,0.004023635184163277,0.0634321305346374,2.8950013128216163,0,True,0.0,1.0,1.0,0,0.0027224379701687755,0.0003513407683221429,-0.0023710972018466327,,,,0.07276902398734819,0.025349584997456986,0.09811860898480518
shuffled,62001,dynamic_tracking,misaligned,0.0076699453386192265,0.08757822411204298,2.8187622191312807,0,True,0.0,1.0,1.6666666666666667,0,0.002237595442124693,0.0029400377995585404,0.0007024423574338474,,,,0.07155807696835836,0.02821555599803105,0.09977363296638941
dense,62001,dynamic_tracking,misaligned,0.002409023491751128,0.04908180408003691,2.7237861015464904,0,True,0.0,1.0,1.0,0,3.834678070174631e-05,0.00010274415187834096,6.439737117659466e-05,,,,0.07403757398424204,0.02694871597486781,0.10098628995910985
signed_intensity,62001,dynamic_tracking,misaligned,0.006748545502509811,0.08214953135903948,2.7880597985651727,0,True,0.0,1.0,1.0,0,0.0013509621546896123,0.0016328305721467601,0.00028186841745714785,,,,0.07623840295855189,0.02871931000117911,0.104957712959731
zero,62001,dynamic_tracking,misaligned,0.1980970624334707,0.4450809616614383,0.0,0,False,1.0,0.0,,3,0.20701136509464077,0.2091307416546834,0.0021193765600426295,,,,0.0016507420004927553,0.0002445400386932306,0.001895282039185986
hold,62001,dynamic_tracking,misaligned,0.08696397736983943,0.29489655367575834,2.31860162019433,0,False,1.0,0.0,,3,0.11232420044333971,0.11204829367465177,-0.00027590676868793906,,,,0.0019581029991968535,0.00025715803349157795,0.0022152610326884314
paired,62001,dynamic_tracking,misaligned,0.006748545502509811,0.08214953135903948,2.7880597985651727,0,True,0.0,1.0,1.0,0,0.0013509621546896116,0.0016328305721467567,0.00028186841745714503,,,,0.07109163201675983,0.026444973023899365,0.0975366050406592
paired_lesion,62001,dynamic_tracking,misaligned,0.010247400824427925,0.10122944642952428,2.843482710287918,0,True,0.0,1.0,1.0,0,0.008081736848321317,0.0036193841137428864,-0.00446235273457843,,,,0.07279260203358717,0.029112131967849564,0.10190473400143674
diagonal,62001,dynamic_tracking,misaligned,0.008137376095903322,0.09020740599254211,2.810430636116729,0,True,0.0,1.0,1.3333333333333333,0,0.0023327805357127324,0.0028196305264899585,0.000486849990777226,,,,0.0774206649439293,0.028252174066437874,0.10567283901036717
diagonal,62001,cooperative_inventory,paired,0.008087544134793102,0.0899307741253966,3.1300998791202446,0,True,0.0,1.0,3.6666666666666665,0,0.0005035628702011465,0.0005370449163717322,3.348204617058563e-05,0.001666281548334457,0.0017774628887032165,0.2900390625,0.10049481205351185,0.016501531026733574,0.11699634308024542
shuffled,62001,cooperative_inventory,paired,0.008034325285868654,0.0896343978942719,3.1299014298494843,0,True,0.0,1.0,3.6666666666666665,0,0.000256895118319156,0.0002989276624183635,4.203254409920748e-05,0.001726527611799044,0.002082252469556678,0.326171875,0.09516410696232924,0.01686443402286386,0.1120285409851931
dense,62001,cooperative_inventory,paired,0.007963062869606042,0.08923599536961552,3.0429145195979928,0,True,0.0,1.0,3.6666666666666665,0,1.4790354795366264e-05,4.2589912421076046e-05,2.7799557625709784e-05,0.001686029435467579,0.0016306045560359292,0.26171875,0.0814124569951673,0.01776992700615665,0.09918238400132395
signed_intensity,62001,cooperative_inventory,paired,0.008097081151847759,0.08998378271581918,3.079345880282892,0,True,0.0,1.0,4.0,0,0.0002514087433095112,7.015940813511444e-05,-0.00018124933517439678,0.0016669393046211344,0.0014868933020185454,0.2607421875,0.08643924898933619,0.017998008035647217,0.10443725702498341
zero,62001,cooperative_inventory,paired,0.08796596514188203,0.29659056819440843,0.0,0,False,1.0,0.0,,3,0.0999932849595906,0.0999932849595906,0.0,0.012111707682441606,0.0,0.9697265625,0.0017669070657575503,0.00027054599922848865,0.002037453064986039
hold,62001,cooperative_inventory,paired,0.043731681203897324,0.20912121175026058,2.3117485064425836,0,False,1.0,0.3333333333333333,0.0,2,0.04850200789198611,0.047242503145917186,-0.0012595047460689235,0.00047212364132628425,0.0,0.033203125,0.00174411397165386,0.0002424960257485509,0.001986609997402411
paired,62001,cooperative_inventory,paired,0.008097081151847759,0.08998378271581918,3.079345880282892,0,True,0.0,1.0,4.0,0,0.0002514087433095113,7.01594081351145e-05,-0.00018124933517439678,0.0016669393046211344,0.0014868933020185456,0.2607421875,0.08515290600189473,0.01786112100671744,0.10301402700861217
paired_lesion,62001,cooperative_inventory,paired,0.008698264501646392,0.09326448681918746,3.1304944294036954,0,True,0.0,1.0,3.6666666666666665,0,0.0003745666190388322,0.0016593853311424323,0.0012848187121036001,0.001650875657684319,0.0016977129370599356,0.2548828125,0.10202458605635911,0.017137541995907668,0.11916212805226678
