controller,seed,family,regime,mean_tracking_loss,tracking_rmse,mean_action_cost,hard_violations,tracking_pass,failure_rate,recovery_fraction,mean_recovery_steps,recovery_censored,initial_tail_loss,return_tail_loss,return_loss_change,mean_stockout,mean_overflow,censored_transition_fraction,action_seconds,learning_seconds,controller_seconds
paired_lesion,52001,dynamic_tracking,paired,0.015286028096901438,0.12363667779789879,2.881608658893388,0,True,0.0,1.0,4.333333333333333,0,0.007381167575161295,0.007241424436184656,-0.0001397431389766387,,,,0.07249033999687526,0.035475191980367526,0.10796553197724279
diagonal,52001,dynamic_tracking,paired,0.011703347543488486,0.10818201118249043,2.8061412438459628,0,True,0.0,1.0,5.666666666666667,0,0.0027901056754712347,0.0049191713194131435,0.0021290656439419088,,,,0.07107966901094187,0.02722037500643637,0.09830004401737824
shuffled,52001,dynamic_tracking,paired,0.006590090213457786,0.0811793706150632,2.833436137348753,0,True,0.0,1.0,1.0,0,0.002524137568067188,0.002310987754283162,-0.000213149813784026,,,,0.07382383502408629,0.03825588000472635,0.11207971502881264
dense,52001,dynamic_tracking,paired,0.002278253051913853,0.04773104913904421,2.7374017788172686,0,True,0.0,1.0,1.0,0,7.829362617174009e-05,5.713129517390929e-05,-2.11623309978308e-05,,,,0.06708228510251502,0.026688464990002103,0.09377075009251712
signed_intensity,52001,dynamic_tracking,paired,0.009575776535937568,0.09785589678674234,2.8099627806062557,0,True,0.0,1.0,6.0,0,0.0004890739624981702,0.0022071874612123905,0.0017181134987142204,,,,0.07019778099493124,0.026806120011315215,0.09700390100624645
zero,52001,dynamic_tracking,paired,0.19841192997631454,0.4454345406188372,0.0,0,False,1.0,0.0,,3,0.16646189971352582,0.16827990223776493,0.0018180025242391096,,,,0.001599060902663041,0.00023993204376893118,0.001838992946431972
hold,52001,dynamic_tracking,paired,0.09118027684618457,0.30196072070086294,2.3315852871695193,0,False,1.0,0.0,,3,0.08962266611962678,0.09128133332590166,0.0016586672062748747,,,,0.0016638479792163707,0.00023614797100890428,0.001899995950225275
paired,52001,dynamic_tracking,paired,0.009575776535937566,0.09785589678674232,2.8099627806062557,0,True,0.0,1.0,6.0,0,0.0004890739624981702,0.0022071874612123905,0.0017181134987142204,,,,0.06916599503165344,0.02722460002405569,0.09639059505570913
diagonal,52001,dynamic_tracking,diagonal,0.002739013726942451,0.05233558757616514,2.8269704425820357,0,True,0.0,1.0,1.0,0,0.000643523725304151,0.00027914023839818096,-0.00036438348690597,,,,0.06602321796526667,0.02619401999254478,0.09221723795781145
shuffled,52001,dynamic_tracking,diagonal,0.001924478503174786,0.04386887852652249,2.782580276892774,0,True,0.0,1.0,1.0,0,0.00025413760934405046,0.0002114216227213597,-4.271598662269077e-05,,,,0.06469436899351422,0.02567156199074816,0.09036593098426238
dense,52001,dynamic_tracking,diagonal,0.0013267580585769618,0.03642469023309549,2.7128675082577054,0,True,0.0,1.0,0.6666666666666666,0,7.485831998839401e-05,4.8457301573705556e-05,-2.6401018414688455e-05,,,,0.08389142798114335,0.028566530949319713,0.11245795893046306
signed_intensity,52001,dynamic_tracking,diagonal,0.002241871575563833,0.047348406262131285,2.778258147797594,0,True,0.0,1.0,1.0,0,0.000353646540425976,0.0003876171168993816,3.397057647340561e-05,,,,0.07369540201761993,0.029252284992253408,0.10294768700987333
zero,52001,dynamic_tracking,diagonal,0.1576638989375715,0.39706913621883466,0.0,0,False,1.0,0.0,,3,0.15154811988744005,0.15302825766828804,0.0014801377808479899,,,,0.0030243600049288943,0.0002585050096968189,0.0032828650146257132
hold,52001,dynamic_tracking,diagonal,0.07801662840577878,0.2793145689107154,2.3315852871695193,0,False,1.0,0.0,,3,0.08798850281022072,0.08929558234061026,0.0013070795303895405,,,,0.0017119490439654328,0.00026079697272507474,0.0019727460166905075
paired,52001,dynamic_tracking,diagonal,0.002241871575563833,0.047348406262131285,2.778258147797594,0,True,0.0,1.0,1.0,0,0.000353646540425976,0.0003876171168993817,3.3970576473405715e-05,,,,0.06588687302428298,0.027401671977713704,0.09328854500199668
paired_lesion,52001,dynamic_tracking,diagonal,0.004174971850869425,0.06461402209172112,2.8973740367184604,0,True,0.0,1.0,1.0,0,0.0031981152339588454,0.00037550156505685713,-0.0028226136689019883,,,,0.06631435095187044,0.02608049697300885,0.09239484792487929
shuffled,52001,dynamic_tracking,misaligned,0.007551884782846955,0.08690158101465678,2.8093950211743524,0,True,0.0,1.0,1.6666666666666667,0,0.0020819352508915706,0.002478391256609148,0.00039645600571757734,,,,0.06719235105992993,0.025893438949424308,0.09308579000935424
dense,52001,dynamic_tracking,misaligned,0.002174683195575024,0.0466334986418028,2.7260928024076683,0,True,0.0,1.0,1.3333333333333333,0,7.581044206528964e-05,7.143624645843615e-05,-4.3741956068534915e-06,,,,0.06879937002668157,0.026920708995021414,0.09572007902170299
signed_intensity,52001,dynamic_tracking,misaligned,0.006649397223556315,0.08154383620824027,2.7782732446015217,0,True,0.0,1.0,1.3333333333333333,0,0.002002676996768062,0.0015834777264175145,-0.0004191992703505474,,,,0.06823653303581523,0.02613054299581563,0.09436707603163086
zero,52001,dynamic_tracking,misaligned,0.18693682773737758,0.432361917538279,0.0,0,False,1.0,0.0,,3,0.18141771083125272,0.1828708398420057,0.0014531290107529793,,,,0.0019386099811526947,0.00025323200679849833,0.002191841987951193
hold,52001,dynamic_tracking,misaligned,0.08702086903688719,0.29499299828451386,2.3315852871695193,0,False,1.0,0.0,,3,0.11343328894016756,0.11472708393921158,0.001293794999044015,,,,0.0017021380190271884,0.00023489399609388784,0.0019370320151210763
paired,52001,dynamic_tracking,misaligned,0.006649397223556315,0.08154383620824027,2.7782732446015217,0,True,0.0,1.0,1.3333333333333333,0,0.002002676996768062,0.001583477726417514,-0.0004191992703505478,,,,0.06778575302450918,0.026553837989922613,0.09433959101443179
paired_lesion,52001,dynamic_tracking,misaligned,0.010507774435094097,0.10250743599902447,2.85794802589829,0,True,0.0,1.0,1.6666666666666667,0,0.008013023553181675,0.0033964403181775643,-0.00461658323500411,,,,0.0676899830577895,0.02639173498027958,0.09408171803806908
diagonal,52001,dynamic_tracking,misaligned,0.008242702373469805,0.09078932962341887,2.7985225077137263,0,True,0.0,1.0,1.3333333333333333,0,0.0026459385522755565,0.0024169421458766663,-0.0002289964063988902,,,,0.06781190204492304,0.025906604001647793,0.09371850604657084
diagonal,52001,cooperative_inventory,paired,0.009406411682364915,0.0969866572388435,3.147831031474441,0,True,0.0,1.0,4.333333333333333,0,0.0005221872627496666,0.000496110018891126,-2.6077243858540567e-05,0.0020620067136185,0.0011351845896038332,0.2705078125,0.10760765001759864,0.016954018996329978,0.12456166901392862
shuffled,52001,cooperative_inventory,paired,0.009537819450611516,0.0976617604316629,3.082008509235464,0,True,0.0,1.0,4.333333333333333,0,0.0003339257661701234,0.00035046492324090515,1.6539157070781768e-05,0.0021930805027347575,0.0007988534324779274,0.291015625,0.1008907569994335,0.016860303054272663,0.11775106005370617
dense,52001,cooperative_inventory,paired,0.009467029476389967,0.09729866122609276,3.0195474193433407,0,True,0.0,1.0,4.666666666666667,0,6.445893488578246e-05,1.0163955938350605e-05,-5.429497894743186e-05,0.0019626077543722703,0.000356374397140354,0.2294921875,0.09765996302303392,0.01823548795800889,0.11589545098104281
signed_intensity,52001,cooperative_inventory,paired,0.009361656059408911,0.09675565130476313,3.0691092809332514,0,True,0.0,1.0,4.333333333333333,0,0.00029137485539189583,0.000163192135571965,-0.00012818271981993083,0.0021952971998513617,0.0008576020423414234,0.25390625,0.10467291205713991,0.017144254976301454,0.12181716703344136
zero,52001,cooperative_inventory,paired,0.08756191672429632,0.29590862901290377,0.0,0,False,1.0,0.0,,3,0.0946264454919011,0.0946264454919011,0.0,0.011368668463431564,0.0,0.9580078125,0.0017270810349145904,0.00025609997828723863,0.001983181013201829
hold,52001,cooperative_inventory,paired,0.04384113543642565,0.2093827486600213,2.4711152509351706,0,False,1.0,0.3333333333333333,0.0,2,0.046992587127375425,0.044869065636805934,-0.002123521490569491,0.00048399714342586646,0.0,0.025390625,0.002299638988915831,0.00026798098406288773,0.0025676199729787186
paired,52001,cooperative_inventory,paired,0.009361656059408911,0.09675565130476313,3.069109280933252,0,True,0.0,1.0,4.333333333333333,0,0.0002913748553918955,0.00016319213557196497,-0.00012818271981993054,0.0021952971998513617,0.0008576020423414236,0.25390625,0.09967798400612082,0.01733810207224451,0.11701608607836533
paired_lesion,52001,cooperative_inventory,paired,0.009726351983686196,0.09862226920775143,3.2109581398512708,0,True,0.0,1.0,4.333333333333333,0,0.0003269636970803161,0.0011909071512964504,0.0008639434542161343,0.002025827273361919,0.0016181165524023194,0.26171875,0.10739300802379148,0.017071780981495976,0.12446478900528746
shuffled,52001,cooperative_inventory,diagonal,0.008546284523544605,0.09244611686568888,3.157190718882432,0,True,0.0,1.0,4.333333333333333,0,0.0002174194538205708,7.462237333889405e-05,-0.00014279708048167675,0.0008663912068006787,0.00038786896729004893,0.2158203125,0.09451531696686288,0.016824116006318945,0.11133943297318183
dense,52001,cooperative_inventory,diagonal,0.008611435911311954,0.09279782277247647,3.088075581793735,0,True,0.0,1.0,4.333333333333333,0,0.00027404780285852665,2.3732697435615827e-05,-0.00025031510542291083,0.0010746609594757233,0.00021618558059807909,0.216796875,0.09270128096250119,0.01768389603239484,0.11038517699489603
signed_intensity,52001,cooperative_inventory,diagonal,0.008476717725554446,0.0920690921295222,3.1305326557240893,0,True,0.0,1.0,4.333333333333333,0,0.0002470759079817288,5.095576166982213e-05,-0.00019612014631190664,0.0010796607825163454,0.00040673102587763946,0.2275390625,0.09754066995810717,0.017085703890188597,0.11462637384829577
zero,52001,cooperative_inventory,diagonal,0.08287381804024192,0.2878781305348531,0.0,0,False,1.0,0.0,,3,0.08674529008268016,0.08674529008268016,0.0,0.011368668463431564,0.0,0.9580078125,0.0017898079604492523,0.000269584015768487,0.0020593919762177393
hold,52001,cooperative_inventory,diagonal,0.04905692160009597,0.2214879716826536,2.4711152509351706,0,False,1.0,0.3333333333333333,0.0,2,0.05557966554207551,0.05450183089274817,-0.0010778346493273416,0.0003323478443033389,0.0,0.02734375,0.0018123450354323722,0.0002504759468138218,0.002062820982246194
paired,52001,cooperative_inventory,diagonal,0.008476717725554446,0.0920690921295222,3.13053265572409,0,True,0.0,1.0,4.333333333333333,0,0.00024707590798172895,5.0955761669822105e-05,-0.00019612014631190686,0.0010796607825163454,0.00040673102587763924,0.2275390625,0.11008948001835961,0.01884033602254931,0.12892981604090892
paired_lesion,52001,cooperative_inventory,diagonal,0.008942451737221049,0.09456453741874407,3.230140725664362,0,True,0.0,1.0,4.666666666666667,0,0.0003455686691634546,0.00016366159420918322,-0.0001819070749542714,0.0008266012684514685,0.0006810339212816338,0.18359375,0.11420787399401888,0.018003448014496826,0.1322113220085157
diagonal,52001,cooperative_inventory,diagonal,0.00854057185970803,0.09241521443846804,3.179618989345513,0,True,0.0,1.0,4.333333333333333,0,0.00026463904811598965,0.0001069471512403668,-0.00015769189687562285,0.0007585833242158569,0.0003627636045521491,0.1796875,0.12593694495444652,0.022775244040531106,0.14871218899497762
dense,52001,cooperative_inventory,misaligned,0.009245993529283413,0.09615608940302955,3.115350650476468,0,True,0.0,1.0,4.333333333333333,0,0.00011650314480741747,3.41587597646081e-05,-8.234438504280937e-05,0.0015018116815714772,0.0003340477995671722,0.169921875,0.09823300397692947,0.021327475013094954,0.11956047899002442
signed_intensity,52001,cooperative_inventory,misaligned,0.009470017837668394,0.09731401665571303,3.10638916138797,0,True,0.0,1.0,4.333333333333333,0,0.00024060596301973467,4.1027859219630766e-05,-0.0001995781038001039,0.0024746785906234734,0.0010289283671233878,0.2978515625,0.11930771799234208,0.025566289004927967,0.14487400699727004
zero,52001,cooperative_inventory,misaligned,0.0863922183291895,0.29392553194506515,0.0,0,False,1.0,0.0,,3,0.09098244844343734,0.09098244844343734,0.0,0.011368668463431564,0.0,0.9580078125,0.0017937960001290776,0.0002772370062302798,0.0020710330063593574
