variant,n,mean_regret,recall_regret,reacquisition_regret,pass_count,mean_difference,ci95_low,ci95_high,paired_dz,dz_undefined,multiplicity
dual_pole,30,0.0034034410275968333,0.012782944094989906,9.798622855688001e-05,28,0.0,0.0,0.0,,True,exploratory_unadjusted
recurrent,30,0.0033266656348532988,0.01147746632462303,9.782373231030329e-05,30,-0.0013054777703668773,-0.0015503575701199322,-0.001041010926774502,-1.838352213098339,False,exploratory_unadjusted
no_self_model,30,0.0025202374248926235,0.010688226739689027,9.701462887928287e-05,30,-0.002094717355300878,-0.002351751388664717,-0.0018256071188162213,-2.831380343011109,False,exploratory_unadjusted
reset_capacity_recall,30,0.0030257254628280536,0.010688635332169908,9.733091784892519e-05,30,-0.0020943087628199977,-0.0023509877393149423,-0.0018246781603722655,-2.829624451277734,False,exploratory_unadjusted
reset_gain_only_recall,30,0.0030542914061673643,0.010688603183417324,9.737332880860272e-05,30,-0.002094340911572586,-0.002350937235517849,-0.001824596609761448,-2.8297411909985097,False,exploratory_unadjusted
freeze_capacity_recall,30,0.004725929355169799,0.020983157433696702,0.00167130187959721,0,0.008200213338706791,0.007155470257562141,0.009162291498339442,2.891750348686625,False,exploratory_unadjusted
reset_freeze_capacity_recall,30,0.0027480419839679047,0.01068885541100716,9.718107906363567e-05,30,-0.0020940886839827502,-0.0023509176198099765,-0.001825060578795562,-2.831461585420853,False,exploratory_unadjusted
unit_confidence_recall,30,0.0017643249156938739,0.003045964600978911,2.6900123301489027e-07,30,-0.009736979494010997,-0.010048804623693845,-0.009417919423927537,-10.746465211569863,False,exploratory_unadjusted
zero_noise,30,0.0025197795006624162,0.010688640420386697,9.716085172840472e-05,30,-0.0020943036746032106,-0.002349890607116153,-0.001825004049556974,-2.8286646843602345,False,exploratory_unadjusted
gate_small_action_updates,30,0.002523001717903167,0.010697581279915106,9.737230138968316e-05,30,-0.0020853628150748027,-0.0023387563223459117,-0.0018182228160241916,-2.854287149931698,False,exploratory_unadjusted
